x	 u	 u_exact
0.000000	-0.009273	0.000000
0.000978	-0.015301	-0.006142
0.001955	-0.021557	-0.012284
0.002933	-0.027582	-0.018425
0.003910	-0.033838	-0.024565
0.004888	-0.039858	-0.030705
0.005865	-0.046116	-0.036843
0.006843	-0.052128	-0.042980
0.007820	-0.058388	-0.049116
0.008798	-0.064390	-0.055249
0.009775	-0.070651	-0.061381
0.010753	-0.076643	-0.067510
0.011730	-0.082906	-0.073636
0.012708	-0.088884	-0.079760
0.013685	-0.095148	-0.085881
0.014663	-0.101112	-0.091999
0.015640	-0.107376	-0.098113
0.016618	-0.113326	-0.104223
0.017595	-0.119587	-0.110330
0.018573	-0.125523	-0.116432
0.019550	-0.131780	-0.122530
0.020528	-0.137704	-0.128623
0.021505	-0.143953	-0.134711
0.022483	-0.149866	-0.140795
0.023460	-0.156102	-0.146873
0.024438	-0.162008	-0.152945
0.025415	-0.168226	-0.159012
0.026393	-0.174128	-0.165073
0.027370	-0.180321	-0.171127
0.028348	-0.186226	-0.177175
0.029326	-0.192387	-0.183217
0.030303	-0.198300	-0.189251
0.031281	-0.204422	-0.195279
0.032258	-0.210347	-0.201299
0.033236	-0.216422	-0.207311
0.034213	-0.222366	-0.213315
0.035191	-0.228388	-0.219312
0.036168	-0.234354	-0.225300
0.037146	-0.240318	-0.231280
0.038123	-0.246308	-0.237251
0.039101	-0.252211	-0.243213
0.040078	-0.258225	-0.249166
0.041056	-0.264069	-0.255109
0.042033	-0.270102	-0.261043
0.043011	-0.275890	-0.266967
0.043988	-0.281934	-0.272881
0.044966	-0.287675	-0.278785
0.045943	-0.293718	-0.284678
0.046921	-0.299424	-0.290560
0.047898	-0.305450	-0.296432
0.048876	-0.311138	-0.302292
0.049853	-0.317127	-0.308141
0.050831	-0.322814	-0.313978
0.051808	-0.328747	-0.319803
0.052786	-0.334451	-0.325617
0.053763	-0.340310	-0.331418
0.054741	-0.346045	-0.337206
0.055718	-0.351818	-0.342982
0.056696	-0.357589	-0.348745
0.057674	-0.363272	-0.354494
0.058651	-0.369079	-0.360231
0.059629	-0.374677	-0.365954
0.060606	-0.380506	-0.371662
0.061584	-0.386035	-0.377357
0.062561	-0.391864	-0.383038
0.063539	-0.397349	-0.388704
0.064516	-0.403147	-0.394356
0.065494	-0.408620	-0.399993
